DomesticG,PBudget,RDate,Title,WorldwideG
"$100,234,838","$104,000,000","Sep 22, 2017",Kingsman: The Golden Circle,"$408,803,696"
"$101,643,008","$103,300,000","Jun 9, 2000",Gone in 60 Seconds,"$232,643,008"
"$187,683,805","$103,000,000","May 5, 2000",Gladiator,"$457,683,805"
"$112,200,072","$103,000,000","May 23, 2013",The Hangover 3,"$362,000,072"
"$100,478,608","$103,000,000","Mar 9, 2018",A Wrinkle in Time,"$133,401,882"
"$97,104,620","$102,500,000","Jul 1, 2009",Public Enemies,"$212,282,709"
"$167,365,000","$102,000,000","Nov 17, 2006",Casino Royale,"$594,420,283"
"$132,024,714","$102,000,000","Jun 21, 2002",Minority Report,"$358,824,714"
"$127,195,589","$102,000,000","Dec 21, 2018",Bumblebee,"$465,195,589"
"$27,108,272","$102,000,000","Oct 26, 2012",Cloud Atlas,"$130,673,154"
"$262,233,381","$100,000,000","Nov 15, 2002",Harry Potter and the Chamber of Secrets,"$879,225,135"
"$203,464,105","$100,000,000","Jul 2, 1991",Terminator 2: Judgment Day,"$515,419,827"
"$184,031,112","$100,000,000","Jun 16, 1995",Batman Forever,"$336,529,144"
"$180,011,740","$100,000,000","Jul 27, 2001",Planet of the Apes,"$362,211,740"
"$173,005,002","$100,000,000","Nov 19, 2004",National Treasure,"$331,323,410"
"$162,805,434","$100,000,000","Dec 25, 2012",Django Unchained,"$449,948,323"
"$148,438,600","$100,000,000","Dec 22, 2010",Little Fockers,"$310,650,574"
"$146,282,411","$100,000,000","Jul 15, 1994",True Lies,"$365,300,000"
"$130,164,645","$100,000,000","Nov 2, 2007",American Gangster,"$267,985,456"
"$124,870,275","$100,000,000","Sep 18, 2009",Cloudy with a Chance of Meatballs,"$236,827,677"
"$119,219,978","$100,000,000","Aug 6, 2010",The Other Guys,"$170,936,470"
"$118,627,117","$100,000,000","Dec 17, 2004",Lemony Snicket's A Series of Unfortunate Events,"$212,956,024"
"$116,900,694","$100,000,000","Dec 25, 2013",The Wolf of Wall Street,"$389,870,414"
"$107,518,682","$100,000,000","May 24, 2013",Epic,"$262,794,441"
"$101,295,562","$100,000,000","Jun 21, 1996",Eraser,"$234,400,000"
"$100,138,851","$100,000,000","Jun 21, 1996",The Hunchback of Notre Dame,"$325,500,000"
"$89,296,573","$100,000,000","Dec 15, 2000",The Emperor's New Groove,"$169,296,573"
"$85,028,192","$100,000,000","Aug 17, 2012",The Expendables 2,"$311,979,256"
"$77,233,467","$100,000,000","Oct 16, 2009",Where the Wild Things Are,"$99,123,656"
"$75,030,163","$100,000,000","Dec 15, 2006",Eragon,"$249,488,115"
"$72,688,614","$100,000,000","Jul 25, 2014",Hercules,"$243,388,614"
"$67,631,157","$100,000,000","Dec 10, 2010",The Tourist,"$278,731,369"
"$66,889,043","$100,000,000","Nov 24, 1999",End of Days,"$212,026,975"
"$59,475,623","$100,000,000","Jun 11, 2004",The Stepford Wives,"$96,221,971"
"$58,867,694","$100,000,000","Jun 8, 2007",Surf's Up,"$145,395,745"
"$57,377,916","$100,000,000","Dec 8, 2006",Blood Diamond,"$171,377,916"
"$55,675,313","$100,000,000","Sep 24, 2010",Legend of the Guardians: The Owls of Ga'Hoole,"$139,716,717"
"$54,768,952","$100,000,000","Nov 7, 1997",Starship Troopers,"$121,100,000"
"$49,438,370","$100,000,000","Jun 5, 2009",Land of the Lost,"$69,548,641"
"$48,417,850","$100,000,000","Dec 25, 2003",Peter Pan,"$95,255,485"
"$45,216,793","$100,000,000","Mar 15, 2019",Wonder Park,"$115,404,214"
"$40,202,379","$100,000,000","Jul 23, 2004",Catwoman,"$82,145,379"
"$39,322,544","$100,000,000","Aug 15, 2014",The Expendables 3,"$209,461,378"
"$38,120,554","$100,000,000","Nov 27, 2002",Treasure Planet,"$91,800,000"
"$35,497,337","$100,000,000","Mar 12, 2010",Green Zone,"$97,523,020"
"$33,700,160","$100,000,000","Oct 20, 2017",Geostorm,"$220,796,009"
"$28,782,481","$100,000,000","Dec 25, 2015",Point Break,"$126,704,591"
"$25,020,758","$100,000,000","Dec 11, 2015",In the Heart of the Sea,"$89,693,309"
"$23,022,309","$100,000,000","Apr 18, 2014",Transcendence,"$103,039,258"
,,,,
"$17,018,422","$100,000,000","Feb 18, 2005",Son of the Mask,"$59,918,422"
"$15,951,040","$100,000,000","Dec 14, 2018",Mortal Engines,"$85,287,417"
"$4,411,102","$100,000,000","Aug 16, 2002",The Adventures of Pluto Nash,"$7,094,995"
"$311,434","$100,000,000","Jan 20, 2012",Jin lÃ­ng shÃ­ san chai,"$98,227,017"
"$130,178,411","$99,000,000","Nov 6, 2015",The Peanuts Movie,"$250,091,610"
"$105,806,508","$99,000,000","Feb 8, 2019",The LEGO Movie 2: The Second Part,"$190,565,433"
"$30,824,628","$99,000,000","Nov 21, 2018",Robin Hood,"$84,747,441"
"$202,007,640","$98,000,000","May 4, 2001",The Mummy Returns,"$435,040,395"
"$77,730,500","$97,000,000","Dec 20, 2002",Gangs of New York,"$183,124,621"
"$74,262,031","$97,000,000","May 19, 2017",Alien: Covenant,"$238,521,247"
"$201,151,353","$95,000,000","Mar 13, 2015",Cinderella,"$534,551,353"
"$161,321,843","$95,000,000","Jul 13, 2012",Ice Age: Continental Drift,"$879,765,137"
"$108,638,745","$95,000,000","Dec 28, 2001",Black Hawk Down,"$159,691,085"
"$95,347,692","$95,000,000","May 27, 2010",Sex and the City 2,"$294,680,778"
"$88,768,303","$95,000,000","Feb 12, 2010",Percy Jackson & the Olympians: The Lightning Thief,"$223,050,874"
"$86,907,746","$95,000,000","Aug 10, 2012",The Campaign,"$104,907,746"
"$81,562,942","$95,000,000","Nov 12, 2010",Unstoppable,"$165,720,921"
